,Energy,Transmission,Density,Thickness
97,203.81,0.18821,2250.0,2.0000000000000002e-07
98,205.8,0.19472,2250.0,2.0000000000000002e-07
99,207.8,0.20126,2250.0,2.0000000000000002e-07
100,209.8,0.20781,2250.0,2.0000000000000002e-07
101,211.8,0.21462,2250.0,2.0000000000000002e-07
102,213.8,0.22171,2250.0,2.0000000000000002e-07
103,215.79,0.2289,2250.0,2.0000000000000002e-07
104,217.79,0.23612,2250.0,2.0000000000000002e-07
105,219.79,0.24343,2250.0,2.0000000000000002e-07
106,221.79,0.25075,2250.0,2.0000000000000002e-07
107,223.79,0.25808,2250.0,2.0000000000000002e-07
108,225.78,0.26539,2250.0,2.0000000000000002e-07
109,227.78,0.2727,2250.0,2.0000000000000002e-07
110,229.78,0.27998,2250.0,2.0000000000000002e-07
111,231.78,0.28724,2250.0,2.0000000000000002e-07
112,233.78,0.29448,2250.0,2.0000000000000002e-07
113,235.77,0.30168,2250.0,2.0000000000000002e-07
114,237.77,0.30885,2250.0,2.0000000000000002e-07
115,239.77,0.31599,2250.0,2.0000000000000002e-07
116,241.77,0.32308,2250.0,2.0000000000000002e-07
117,243.77,0.33014,2250.0,2.0000000000000002e-07
118,245.76,0.33715,2250.0,2.0000000000000002e-07
119,247.76,0.34412,2250.0,2.0000000000000002e-07
120,249.76,0.35104,2250.0,2.0000000000000002e-07
121,251.76,0.35791,2250.0,2.0000000000000002e-07
122,253.76,0.36473,2250.0,2.0000000000000002e-07
123,255.75,0.37149,2250.0,2.0000000000000002e-07
124,257.75,0.37821,2250.0,2.0000000000000002e-07
125,259.75,0.38487,2250.0,2.0000000000000002e-07
126,261.75,0.39147,2250.0,2.0000000000000002e-07
127,263.75,0.39802,2250.0,2.0000000000000002e-07
128,265.74,0.4045,2250.0,2.0000000000000002e-07
129,267.74,0.41093,2250.0,2.0000000000000002e-07
130,269.74,0.41729,2250.0,2.0000000000000002e-07
131,271.74,0.4236,2250.0,2.0000000000000002e-07
132,273.74,0.4299,2250.0,2.0000000000000002e-07
133,275.73,0.43617,2250.0,2.0000000000000002e-07
134,277.73,0.44243,2250.0,2.0000000000000002e-07
135,279.73,0.4487,2250.0,2.0000000000000002e-07
136,281.73,0.45492,2250.0,2.0000000000000002e-07
137,283.73,0.46113,2250.0,2.0000000000000002e-07
138,285.72,0.46728,2250.0,2.0000000000000002e-07
139,287.72,0.47336,2250.0,2.0000000000000002e-07
140,289.72,0.47938,2250.0,2.0000000000000002e-07
141,291.72,0.48533,2250.0,2.0000000000000002e-07
142,293.72,0.49122,2250.0,2.0000000000000002e-07
143,295.71,0.49703,2250.0,2.0000000000000002e-07
144,297.71,0.50278,2250.0,2.0000000000000002e-07
145,299.71,0.50846,2250.0,2.0000000000000002e-07
146,301.71,0.51407,2250.0,2.0000000000000002e-07
147,303.71,0.51962,2250.0,2.0000000000000002e-07
148,305.7,0.52509,2250.0,2.0000000000000002e-07
149,307.7,0.5305,2250.0,2.0000000000000002e-07
150,309.7,0.53585,2250.0,2.0000000000000002e-07
151,311.7,0.54121,2250.0,2.0000000000000002e-07
152,313.7,0.54651,2250.0,2.0000000000000002e-07
153,315.69,0.55176,2250.0,2.0000000000000002e-07
154,317.69,0.55699,2250.0,2.0000000000000002e-07
155,319.69,0.56214,2250.0,2.0000000000000002e-07
156,321.69,0.56724,2250.0,2.0000000000000002e-07
157,323.69,0.57226,2250.0,2.0000000000000002e-07
158,325.68,0.57722,2250.0,2.0000000000000002e-07
159,327.68,0.58211,2250.0,2.0000000000000002e-07
160,329.68,0.58693,2250.0,2.0000000000000002e-07
161,331.68,0.59169,2250.0,2.0000000000000002e-07
162,333.68,0.59639,2250.0,2.0000000000000002e-07
163,335.67,0.60103,2250.0,2.0000000000000002e-07
164,337.67,0.6056,2250.0,2.0000000000000002e-07
165,339.67,0.61012,2250.0,2.0000000000000002e-07
166,341.67,0.61457,2250.0,2.0000000000000002e-07
167,343.67,0.61896,2250.0,2.0000000000000002e-07
168,345.66,0.62329,2250.0,2.0000000000000002e-07
169,347.66,0.62757,2250.0,2.0000000000000002e-07
170,349.66,0.63178,2250.0,2.0000000000000002e-07
171,351.66,0.63594,2250.0,2.0000000000000002e-07
172,353.66,0.64004,2250.0,2.0000000000000002e-07
173,355.65,0.64409,2250.0,2.0000000000000002e-07
174,357.65,0.64808,2250.0,2.0000000000000002e-07
175,359.65,0.65202,2250.0,2.0000000000000002e-07
176,361.65,0.6559,2250.0,2.0000000000000002e-07
177,363.65,0.65973,2250.0,2.0000000000000002e-07
178,365.64,0.66351,2250.0,2.0000000000000002e-07
179,367.64,0.66723,2250.0,2.0000000000000002e-07
180,369.64,0.6709,2250.0,2.0000000000000002e-07
181,371.64,0.67452,2250.0,2.0000000000000002e-07
182,373.64,0.6781,2250.0,2.0000000000000002e-07
183,375.63,0.68162,2250.0,2.0000000000000002e-07
184,377.63,0.68509,2250.0,2.0000000000000002e-07
185,379.63,0.68852,2250.0,2.0000000000000002e-07
186,381.63,0.6919,2250.0,2.0000000000000002e-07
187,383.63,0.69523,2250.0,2.0000000000000002e-07
188,385.62,0.69851,2250.0,2.0000000000000002e-07
189,387.62,0.70175,2250.0,2.0000000000000002e-07
190,389.62,0.70494,2250.0,2.0000000000000002e-07
191,391.62,0.70807,2250.0,2.0000000000000002e-07
192,393.62,0.71117,2250.0,2.0000000000000002e-07
193,395.61,0.7143,2250.0,2.0000000000000002e-07
194,397.61,0.71742,2250.0,2.0000000000000002e-07
195,399.61,0.7205,2250.0,2.0000000000000002e-07
196,401.61,0.72356,2250.0,2.0000000000000002e-07
197,403.61,0.7266,2250.0,2.0000000000000002e-07
198,405.6,0.7296,2250.0,2.0000000000000002e-07
199,407.6,0.73256,2250.0,2.0000000000000002e-07
200,409.6,0.73548,2250.0,2.0000000000000002e-07
201,411.6,0.35081,2250.0,2.0000000000000002e-07
202,413.6,0.35505,2250.0,2.0000000000000002e-07
203,415.59,0.35927,2250.0,2.0000000000000002e-07
204,417.59,0.36347,2250.0,2.0000000000000002e-07
205,419.59,0.36765,2250.0,2.0000000000000002e-07
206,421.59,0.37181,2250.0,2.0000000000000002e-07
207,423.59,0.37595,2250.0,2.0000000000000002e-07
208,425.58,0.38007,2250.0,2.0000000000000002e-07
209,427.58,0.38417,2250.0,2.0000000000000002e-07
210,429.58,0.38825,2250.0,2.0000000000000002e-07
211,431.58,0.39231,2250.0,2.0000000000000002e-07
212,433.58,0.39635,2250.0,2.0000000000000002e-07
213,435.57,0.40036,2250.0,2.0000000000000002e-07
214,437.57,0.40435,2250.0,2.0000000000000002e-07
215,439.57,0.40832,2250.0,2.0000000000000002e-07
216,441.57,0.41227,2250.0,2.0000000000000002e-07
217,443.57,0.4162,2250.0,2.0000000000000002e-07
218,445.56,0.4201,2250.0,2.0000000000000002e-07
219,447.56,0.42398,2250.0,2.0000000000000002e-07
220,449.56,0.42785,2250.0,2.0000000000000002e-07
221,451.56,0.43169,2250.0,2.0000000000000002e-07
222,453.56,0.43552,2250.0,2.0000000000000002e-07
223,455.55,0.43932,2250.0,2.0000000000000002e-07
224,457.55,0.44311,2250.0,2.0000000000000002e-07
225,459.55,0.44687,2250.0,2.0000000000000002e-07
226,461.55,0.45061,2250.0,2.0000000000000002e-07
227,463.55,0.45432,2250.0,2.0000000000000002e-07
228,465.54,0.45802,2250.0,2.0000000000000002e-07
229,467.54,0.46169,2250.0,2.0000000000000002e-07
230,469.54,0.46534,2250.0,2.0000000000000002e-07
231,471.54,0.46896,2250.0,2.0000000000000002e-07
232,473.54,0.47256,2250.0,2.0000000000000002e-07
233,475.53,0.47613,2250.0,2.0000000000000002e-07
234,477.53,0.47968,2250.0,2.0000000000000002e-07
235,479.53,0.4832,2250.0,2.0000000000000002e-07
236,481.53,0.4867,2250.0,2.0000000000000002e-07
237,483.53,0.49018,2250.0,2.0000000000000002e-07
238,485.52,0.49363,2250.0,2.0000000000000002e-07
239,487.52,0.49706,2250.0,2.0000000000000002e-07
240,489.52,0.50046,2250.0,2.0000000000000002e-07
241,491.52,0.50384,2250.0,2.0000000000000002e-07
242,493.52,0.50719,2250.0,2.0000000000000002e-07
243,495.51,0.51053,2250.0,2.0000000000000002e-07
244,497.51,0.51383,2250.0,2.0000000000000002e-07
245,499.51,0.51712,2250.0,2.0000000000000002e-07
246,501.51,0.52038,2250.0,2.0000000000000002e-07
247,503.51,0.52361,2250.0,2.0000000000000002e-07
248,505.5,0.52682,2250.0,2.0000000000000002e-07
249,507.5,0.53001,2250.0,2.0000000000000002e-07
250,509.5,0.53317,2250.0,2.0000000000000002e-07
251,511.5,0.53632,2250.0,2.0000000000000002e-07
252,513.5,0.53944,2250.0,2.0000000000000002e-07
253,515.49,0.54253,2250.0,2.0000000000000002e-07
254,517.49,0.5456,2250.0,2.0000000000000002e-07
255,519.49,0.54866,2250.0,2.0000000000000002e-07
256,521.49,0.55169,2250.0,2.0000000000000002e-07
257,523.49,0.5547,2250.0,2.0000000000000002e-07
258,525.48,0.55769,2250.0,2.0000000000000002e-07
259,527.48,0.56066,2250.0,2.0000000000000002e-07
260,529.48,0.56361,2250.0,2.0000000000000002e-07
261,531.48,0.56654,2250.0,2.0000000000000002e-07
262,533.48,0.56944,2250.0,2.0000000000000002e-07
263,535.47,0.57233,2250.0,2.0000000000000002e-07
264,537.47,0.5752,2250.0,2.0000000000000002e-07
265,539.47,0.57804,2250.0,2.0000000000000002e-07
266,541.47,0.58086,2250.0,2.0000000000000002e-07
267,543.47,0.58366,2250.0,2.0000000000000002e-07
268,545.46,0.58644,2250.0,2.0000000000000002e-07
269,547.46,0.5892,2250.0,2.0000000000000002e-07
270,549.46,0.59194,2250.0,2.0000000000000002e-07
271,551.46,0.59465,2250.0,2.0000000000000002e-07
272,553.46,0.59733,2250.0,2.0000000000000002e-07
273,555.45,0.59998,2250.0,2.0000000000000002e-07
274,557.45,0.60261,2250.0,2.0000000000000002e-07
275,559.45,0.60522,2250.0,2.0000000000000002e-07
276,561.45,0.60784,2250.0,2.0000000000000002e-07
277,563.45,0.61051,2250.0,2.0000000000000002e-07
278,565.44,0.61317,2250.0,2.0000000000000002e-07
279,567.44,0.6158,2250.0,2.0000000000000002e-07
280,569.44,0.61841,2250.0,2.0000000000000002e-07
281,571.44,0.62107,2250.0,2.0000000000000002e-07
282,573.44,0.62373,2250.0,2.0000000000000002e-07
283,575.43,0.62637,2250.0,2.0000000000000002e-07
284,577.43,0.62898,2250.0,2.0000000000000002e-07
285,579.43,0.63158,2250.0,2.0000000000000002e-07
286,581.43,0.63416,2250.0,2.0000000000000002e-07
287,583.43,0.63672,2250.0,2.0000000000000002e-07
288,585.42,0.63925,2250.0,2.0000000000000002e-07
289,587.42,0.64177,2250.0,2.0000000000000002e-07
290,589.42,0.64427,2250.0,2.0000000000000002e-07
291,591.42,0.64674,2250.0,2.0000000000000002e-07
292,593.42,0.6492,2250.0,2.0000000000000002e-07
293,595.41,0.65164,2250.0,2.0000000000000002e-07
294,597.41,0.65405,2250.0,2.0000000000000002e-07
295,599.41,0.65645,2250.0,2.0000000000000002e-07
296,601.41,0.65882,2250.0,2.0000000000000002e-07
297,603.41,0.66118,2250.0,2.0000000000000002e-07
298,605.4,0.66352,2250.0,2.0000000000000002e-07
299,607.4,0.66583,2250.0,2.0000000000000002e-07
300,609.4,0.66813,2250.0,2.0000000000000002e-07
301,611.4,0.67041,2250.0,2.0000000000000002e-07
302,613.4,0.67267,2250.0,2.0000000000000002e-07
303,615.39,0.67491,2250.0,2.0000000000000002e-07
304,617.39,0.67713,2250.0,2.0000000000000002e-07
305,619.39,0.67934,2250.0,2.0000000000000002e-07
306,621.39,0.68153,2250.0,2.0000000000000002e-07
307,623.39,0.68369,2250.0,2.0000000000000002e-07
308,625.38,0.68584,2250.0,2.0000000000000002e-07
309,627.38,0.68798,2250.0,2.0000000000000002e-07
310,629.38,0.6901,2250.0,2.0000000000000002e-07
311,631.38,0.69221,2250.0,2.0000000000000002e-07
312,633.38,0.69431,2250.0,2.0000000000000002e-07
313,635.37,0.69638,2250.0,2.0000000000000002e-07
314,637.37,0.69844,2250.0,2.0000000000000002e-07
315,639.37,0.7005,2250.0,2.0000000000000002e-07
316,641.37,0.70254,2250.0,2.0000000000000002e-07
317,643.37,0.70457,2250.0,2.0000000000000002e-07
318,645.36,0.70658,2250.0,2.0000000000000002e-07
319,647.36,0.70857,2250.0,2.0000000000000002e-07
320,649.36,0.71056,2250.0,2.0000000000000002e-07
321,651.36,0.71253,2250.0,2.0000000000000002e-07
322,653.36,0.71449,2250.0,2.0000000000000002e-07
323,655.35,0.71642,2250.0,2.0000000000000002e-07
324,657.35,0.71835,2250.0,2.0000000000000002e-07
325,659.35,0.72025,2250.0,2.0000000000000002e-07
326,661.35,0.72214,2250.0,2.0000000000000002e-07
327,663.35,0.72402,2250.0,2.0000000000000002e-07
328,665.34,0.72588,2250.0,2.0000000000000002e-07
329,667.34,0.72772,2250.0,2.0000000000000002e-07
330,669.34,0.72955,2250.0,2.0000000000000002e-07
331,671.34,0.73133,2250.0,2.0000000000000002e-07
332,673.34,0.7331,2250.0,2.0000000000000002e-07
333,675.33,0.73485,2250.0,2.0000000000000002e-07
334,677.33,0.73658,2250.0,2.0000000000000002e-07
335,679.33,0.73831,2250.0,2.0000000000000002e-07
336,681.33,0.74,2250.0,2.0000000000000002e-07
337,683.33,0.74167,2250.0,2.0000000000000002e-07
338,685.32,0.74333,2250.0,2.0000000000000002e-07
339,687.32,0.74497,2250.0,2.0000000000000002e-07
340,689.32,0.7466,2250.0,2.0000000000000002e-07
341,691.32,0.74822,2250.0,2.0000000000000002e-07
342,693.32,0.74982,2250.0,2.0000000000000002e-07
343,695.31,0.7514,2250.0,2.0000000000000002e-07
344,697.31,0.75298,2250.0,2.0000000000000002e-07
345,699.31,0.75454,2250.0,2.0000000000000002e-07
346,701.31,0.75608,2250.0,2.0000000000000002e-07
347,703.31,0.75763,2250.0,2.0000000000000002e-07
348,705.3,0.75917,2250.0,2.0000000000000002e-07
349,707.3,0.76069,2250.0,2.0000000000000002e-07
350,709.3,0.76221,2250.0,2.0000000000000002e-07
351,711.3,0.76371,2250.0,2.0000000000000002e-07
352,713.3,0.7652,2250.0,2.0000000000000002e-07
353,715.29,0.76669,2250.0,2.0000000000000002e-07
354,717.29,0.76817,2250.0,2.0000000000000002e-07
355,719.29,0.76964,2250.0,2.0000000000000002e-07
356,721.29,0.7711,2250.0,2.0000000000000002e-07
357,723.29,0.77254,2250.0,2.0000000000000002e-07
358,725.28,0.77397,2250.0,2.0000000000000002e-07
359,727.28,0.77539,2250.0,2.0000000000000002e-07
360,729.28,0.7768,2250.0,2.0000000000000002e-07
361,731.28,0.7782,2250.0,2.0000000000000002e-07
362,733.28,0.77959,2250.0,2.0000000000000002e-07
363,735.27,0.78096,2250.0,2.0000000000000002e-07
364,737.27,0.78233,2250.0,2.0000000000000002e-07
365,739.27,0.78368,2250.0,2.0000000000000002e-07
366,741.27,0.78502,2250.0,2.0000000000000002e-07
367,743.27,0.78635,2250.0,2.0000000000000002e-07
368,745.26,0.78767,2250.0,2.0000000000000002e-07
369,747.26,0.78898,2250.0,2.0000000000000002e-07
370,749.26,0.79028,2250.0,2.0000000000000002e-07
371,751.26,0.79157,2250.0,2.0000000000000002e-07
372,753.26,0.79285,2250.0,2.0000000000000002e-07
373,755.25,0.79412,2250.0,2.0000000000000002e-07
374,757.25,0.79538,2250.0,2.0000000000000002e-07
375,759.25,0.79663,2250.0,2.0000000000000002e-07
376,761.25,0.79787,2250.0,2.0000000000000002e-07
377,763.25,0.79911,2250.0,2.0000000000000002e-07
378,765.24,0.80035,2250.0,2.0000000000000002e-07
379,767.24,0.80157,2250.0,2.0000000000000002e-07
380,769.24,0.80278,2250.0,2.0000000000000002e-07
381,771.24,0.80399,2250.0,2.0000000000000002e-07
382,773.24,0.80518,2250.0,2.0000000000000002e-07
383,775.23,0.80639,2250.0,2.0000000000000002e-07
384,777.23,0.80759,2250.0,2.0000000000000002e-07
385,779.23,0.80877,2250.0,2.0000000000000002e-07
386,781.23,0.80995,2250.0,2.0000000000000002e-07
387,783.23,0.81112,2250.0,2.0000000000000002e-07
388,785.22,0.81228,2250.0,2.0000000000000002e-07
389,787.22,0.81344,2250.0,2.0000000000000002e-07
390,789.22,0.81459,2250.0,2.0000000000000002e-07
391,791.22,0.81574,2250.0,2.0000000000000002e-07
392,793.22,0.81687,2250.0,2.0000000000000002e-07
393,795.21,0.818,2250.0,2.0000000000000002e-07
394,797.21,0.81911,2250.0,2.0000000000000002e-07
395,799.21,0.82022,2250.0,2.0000000000000002e-07
396,801.21,0.82132,2250.0,2.0000000000000002e-07
397,803.21,0.82241,2250.0,2.0000000000000002e-07
398,805.2,0.82349,2250.0,2.0000000000000002e-07
399,807.2,0.82456,2250.0,2.0000000000000002e-07
400,809.2,0.82563,2250.0,2.0000000000000002e-07
401,811.2,0.82668,2250.0,2.0000000000000002e-07
402,813.2,0.82773,2250.0,2.0000000000000002e-07
403,815.19,0.82877,2250.0,2.0000000000000002e-07
404,817.19,0.8298,2250.0,2.0000000000000002e-07
405,819.19,0.83083,2250.0,2.0000000000000002e-07
406,821.19,0.83184,2250.0,2.0000000000000002e-07
407,823.19,0.83285,2250.0,2.0000000000000002e-07
408,825.18,0.83385,2250.0,2.0000000000000002e-07
409,827.18,0.83484,2250.0,2.0000000000000002e-07
410,829.18,0.83583,2250.0,2.0000000000000002e-07
411,831.18,0.8368,2250.0,2.0000000000000002e-07
412,833.18,0.83777,2250.0,2.0000000000000002e-07
413,835.17,0.83873,2250.0,2.0000000000000002e-07
414,837.17,0.83969,2250.0,2.0000000000000002e-07
415,839.17,0.84063,2250.0,2.0000000000000002e-07
416,841.17,0.84157,2250.0,2.0000000000000002e-07
417,843.17,0.8425,2250.0,2.0000000000000002e-07
418,845.16,0.84342,2250.0,2.0000000000000002e-07
419,847.16,0.84434,2250.0,2.0000000000000002e-07
420,849.16,0.84525,2250.0,2.0000000000000002e-07
421,851.16,0.84615,2250.0,2.0000000000000002e-07
422,853.16,0.84704,2250.0,2.0000000000000002e-07
423,855.15,0.84793,2250.0,2.0000000000000002e-07
424,857.15,0.8488,2250.0,2.0000000000000002e-07
425,859.15,0.84968,2250.0,2.0000000000000002e-07
426,861.15,0.85054,2250.0,2.0000000000000002e-07
427,863.15,0.8514,2250.0,2.0000000000000002e-07
428,865.14,0.85225,2250.0,2.0000000000000002e-07
429,867.14,0.8531,2250.0,2.0000000000000002e-07
430,869.14,0.85394,2250.0,2.0000000000000002e-07
431,871.14,0.85477,2250.0,2.0000000000000002e-07
432,873.14,0.85559,2250.0,2.0000000000000002e-07
433,875.13,0.85641,2250.0,2.0000000000000002e-07
434,877.13,0.85722,2250.0,2.0000000000000002e-07
435,879.13,0.85803,2250.0,2.0000000000000002e-07
436,881.13,0.85883,2250.0,2.0000000000000002e-07
437,883.13,0.85963,2250.0,2.0000000000000002e-07
438,885.12,0.86042,2250.0,2.0000000000000002e-07
439,887.12,0.8612,2250.0,2.0000000000000002e-07
440,889.12,0.86198,2250.0,2.0000000000000002e-07
441,891.12,0.86275,2250.0,2.0000000000000002e-07
442,893.12,0.86351,2250.0,2.0000000000000002e-07
443,895.11,0.86428,2250.0,2.0000000000000002e-07
444,897.11,0.86503,2250.0,2.0000000000000002e-07
445,899.11,0.86578,2250.0,2.0000000000000002e-07
446,901.11,0.86652,2250.0,2.0000000000000002e-07
447,903.11,0.86726,2250.0,2.0000000000000002e-07
448,905.1,0.86799,2250.0,2.0000000000000002e-07
449,907.1,0.86872,2250.0,2.0000000000000002e-07
450,909.1,0.86944,2250.0,2.0000000000000002e-07
451,911.1,0.87016,2250.0,2.0000000000000002e-07
452,913.1,0.87087,2250.0,2.0000000000000002e-07
453,915.09,0.87158,2250.0,2.0000000000000002e-07
454,917.09,0.87228,2250.0,2.0000000000000002e-07
455,919.09,0.87298,2250.0,2.0000000000000002e-07
456,921.09,0.87367,2250.0,2.0000000000000002e-07
457,923.09,0.87436,2250.0,2.0000000000000002e-07
458,925.08,0.87504,2250.0,2.0000000000000002e-07
459,927.08,0.87572,2250.0,2.0000000000000002e-07
460,929.08,0.8764,2250.0,2.0000000000000002e-07
461,931.08,0.87707,2250.0,2.0000000000000002e-07
462,933.08,0.87774,2250.0,2.0000000000000002e-07
463,935.07,0.8784,2250.0,2.0000000000000002e-07
464,937.07,0.87906,2250.0,2.0000000000000002e-07
465,939.07,0.87971,2250.0,2.0000000000000002e-07
466,941.07,0.88036,2250.0,2.0000000000000002e-07
467,943.07,0.88101,2250.0,2.0000000000000002e-07
468,945.06,0.88164,2250.0,2.0000000000000002e-07
469,947.06,0.88228,2250.0,2.0000000000000002e-07
470,949.06,0.88291,2250.0,2.0000000000000002e-07
471,951.06,0.88354,2250.0,2.0000000000000002e-07
472,953.06,0.88416,2250.0,2.0000000000000002e-07
473,955.05,0.88478,2250.0,2.0000000000000002e-07
474,957.05,0.88539,2250.0,2.0000000000000002e-07
475,959.05,0.886,2250.0,2.0000000000000002e-07
476,961.05,0.88661,2250.0,2.0000000000000002e-07
477,963.05,0.88721,2250.0,2.0000000000000002e-07
478,965.04,0.88781,2250.0,2.0000000000000002e-07
479,967.04,0.8884,2250.0,2.0000000000000002e-07
480,969.04,0.88899,2250.0,2.0000000000000002e-07
481,971.04,0.88957,2250.0,2.0000000000000002e-07
482,973.04,0.89015,2250.0,2.0000000000000002e-07
483,975.03,0.89073,2250.0,2.0000000000000002e-07
484,977.03,0.8913,2250.0,2.0000000000000002e-07
485,979.03,0.89187,2250.0,2.0000000000000002e-07
486,981.03,0.89244,2250.0,2.0000000000000002e-07
487,983.03,0.893,2250.0,2.0000000000000002e-07
488,985.02,0.89355,2250.0,2.0000000000000002e-07
489,987.02,0.89411,2250.0,2.0000000000000002e-07
490,989.02,0.89465,2250.0,2.0000000000000002e-07
491,991.02,0.8952,2250.0,2.0000000000000002e-07
492,993.02,0.89574,2250.0,2.0000000000000002e-07
493,995.01,0.89628,2250.0,2.0000000000000002e-07
494,997.01,0.89681,2250.0,2.0000000000000002e-07
495,999.01,0.89734,2250.0,2.0000000000000002e-07
496,1001.0,0.89787,2250.0,2.0000000000000002e-07
